                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3336,                 4.1731,                 4.1909,                0.34014,                0.14213,                0.00519,                0.00126,                 3.0029,                  4.749,                 4.0622,              0.0033274,              0.0033274,              0.0033274
                      2,                 2.6338,                 3.2892,                 3.3215,                0.29353,                 0.3307,                 0.1717,                0.06593,                 2.0389,                 2.9526,                 2.8008,              0.0065948,              0.0065948,              0.0065948
                      3,                 1.8366,                 2.3415,                 2.4096,                0.46484,                  0.381,                0.37024,                0.19317,                 1.7755,                 2.4902,                  2.448,              0.0097962,              0.0097962,              0.0097962
                      4,                 1.5864,                 1.9187,                 2.0828,                0.45311,                0.48156,                0.41874,                0.25022,                 1.6394,                 2.2734,                 2.2256,               0.009703,               0.009703,               0.009703
                      5,                 1.4359,                  1.645,                 1.9075,                0.61172,                0.59618,                0.60873,                0.36992,                 1.5192,                 1.6792,                 2.0703,               0.009604,               0.009604,               0.009604
                      6,                 1.3686,                 1.5156,                 1.8167,                 0.6436,                0.60513,                0.63731,                0.40926,                 1.4454,                 1.5905,                 1.9867,               0.009505,               0.009505,               0.009505
                      7,                 1.3222,                 1.4207,                 1.7587,                0.66845,                0.65711,                0.68417,                0.44975,                  1.358,                 1.3944,                 1.8511,               0.009406,               0.009406,               0.009406
                      8,                 1.2678,                 1.3208,                 1.6952,                0.69374,                0.59167,                0.63799,                0.41885,                 1.3259,                 1.6184,                 1.8417,               0.009307,               0.009307,               0.009307
                      9,                 1.2308,                 1.2796,                 1.6698,                0.65256,                0.63404,                0.67867,                0.43437,                 1.4128,                 1.5767,                 1.9333,               0.009208,               0.009208,               0.009208
                     10,                 1.1947,                 1.2135,                 1.6261,                0.69865,                0.67123,                0.73074,                0.50189,                 1.2232,                 1.1844,                  1.702,               0.009109,               0.009109,               0.009109
                     11,                 1.1763,                 1.1651,                 1.6062,                0.73488,                0.66802,                0.75458,                0.52332,                 1.2244,                 1.1336,                 1.7022,                0.00901,                0.00901,                0.00901
                     12,                 1.1489,                 1.1342,                 1.5803,                0.65681,                0.71278,                0.74485,                0.51143,                  1.261,                  1.265,                 1.7295,               0.008911,               0.008911,               0.008911
                     13,                 1.1339,                 1.0985,                 1.5629,                0.72488,                0.68812,                0.75271,                0.52328,                 1.2012,                 1.1653,                 1.6558,               0.008812,               0.008812,               0.008812
                     14,                 1.1139,                 1.0772,                 1.5453,                 0.7206,                0.71843,                0.77325,                0.53771,                 1.2034,                 1.1192,                 1.6789,               0.008713,               0.008713,               0.008713
                     15,                 1.0954,                 1.0458,                 1.5296,                0.68214,                0.70276,                0.75323,                0.52616,                  1.181,                 1.2829,                 1.6459,               0.008614,               0.008614,               0.008614
                     16,                 1.0796,                 1.0111,                 1.5065,                0.67223,                0.74373,                0.75556,                0.52373,                 1.1931,                 1.2028,                 1.6536,               0.008515,               0.008515,               0.008515
                     17,                 1.0655,                0.98774,                 1.4987,                0.79118,                0.74162,                 0.8143,                0.57488,                 1.1569,                0.93911,                 1.6269,               0.008416,               0.008416,               0.008416
                     18,                  1.055,                0.98353,                 1.4911,                0.74042,                0.75502,                0.80163,                0.56243,                 1.1943,                 1.0309,                 1.6726,               0.008317,               0.008317,               0.008317
                     19,                 1.0406,                0.95731,                  1.478,                0.76636,                0.75063,                0.79669,                0.56345,                 1.1479,                 0.9808,                 1.6047,               0.008218,               0.008218,               0.008218
                     20,                 1.0411,                0.94119,                  1.469,                0.76687,                0.75724,                0.81671,                0.58533,                 1.1286,                0.94393,                 1.5843,               0.008119,               0.008119,               0.008119
                     21,                 1.0244,                0.92019,                 1.4502,                0.74114,                0.72371,                0.80381,                0.57849,                 1.1087,                 1.0263,                 1.5707,                0.00802,                0.00802,                0.00802
                     22,                 1.0181,                0.91716,                 1.4465,                0.78932,                0.74232,                0.81173,                0.58104,                 1.1114,                 0.9444,                 1.5716,               0.007921,               0.007921,               0.007921
